Product,Price,Description
Firesteed Pinot Noir Oregon, 11.99,"James Suckling-Martinborough, New Zealand - ""Attractive, plush pinot that offers silky, ripe red cherries in a mellow mouthfeel with warm, spicy flavors through the finish. Drink now..."" Try pairing this wine with meaty fish."
"Lloyd Pinot Noir Santa Rita Hills, 2015", 57.99,"Italy- Silky smooth, this Pinot Noir has well-defined flavors of red berries and cherries. Medium-bodied with soft tannins, this food-friendly wine is easy drinking and pairs..."
"Boen Pinot Noir RRV, 2017", 26.99,"Italy- Silky smooth, this Pinot Noir has well-defined flavors of red berries and cherries. Medium-bodied with soft tannins, this food-friendly wine is easy drinking and pairs..."
Mark West Pinot Noir Black, 9.99,"Pommard, Beaune, France- This expressive, elegant Pinot Noir carries opulent notes of spice and ripe berries that open expansively on the palate. The rich nose is filled with..."
We Are Sonoma Pinot Noir, 5.99,"California- The wine is elegant and medium bodied, with lush layers of red cherry and raspberry, complemented by complex spice notes, leading to a velvety, smooth finish. Served with juicy, grilled steak."
Reserve St Martin Pinot Noir, 14.99,"Sancerre, Loire, France- Produced from the Pinot Noir grape, The Domaine Christian Salmon is located in one of the best villages of Sancerre. Medium-bodied, with a smoky black..."
Franzia Pinot Noir Carmenere, 14.99,"James Suckling-Willamette Valley, OR - ""This pinot noir shows aromas of blueberries, raspberries, dried strawberries and hints of ginseng roots. Cedar, too. Medium to full body, firm and velvety tannins and a beautiful, clean finish..."""
Seven Peaks Pinot Noir, 11.99,"Bright red fruit characteristics emerge along with deep, color, lush body, touches of vanilla and spearmint followed by delicate strawberry flavor."
"Adelsheim Pinot Noir, 2016", 22.99,"Vin de Pays, France- This elegant wine has rich flavors of raspberry, blackcurrant and toasted notes from the oak aging that balance out the fruit flavors. This bottling of..."
"Palliser Estate Pinot Noir, 2017", 29.99,"James Suckling-Sonoma Coast, CA - ""Subtle and fresh with perfumed aromas of cedar, lemon tree, tea, and ash. Medium to full body, ultra-fine tannins and a tannic and intense..."
Conte Priola Pinot Noir, 13.99,"Burgundy, France- This elegant Pinot Noir showcases a rich, supple palate supported by soft, elegant tannins, while the nose offers hints of earth, red fruits and spice. A mouthwatering fruit bowl of cherry, cassis and raspberry balanced with lively acidity."
Conte Priola Pinot Noir, 8.99,"California- Inviting aromas of cranberry, raspberry, and baking spices. Flavors of red fruit, pomegranate, and cinnamon can all be detected in this light-bodied Pinot Noir. The crisp finish expertly balances the upfront fruit and gently cleanses the palate."
Machard Gramont Pommard Clos Bl, 62.99,"Vinous-Sonoma Coast, California - ""The 2016 Pinot Noir is a gorgeous wine. Intensely floral, spiced aromatics and burst of red/purplish berry accents run through this super-expressive, nuanced Pinot Noir. Medium in body, fragrant and absolutely impeccable in its balance."""
Prophecy Pinot Noir, 8.99,"Russian River, Sonoma, CA- Traditional Burgundian winemaking techniques lead to a soft, elegant style of Pinot Noir. The exotic bouquet of Asian spice leads to soft flavors and aromas of ripe cherries and truffles. The beautiful long finish seems to go on forever"
Salmon Sancerre Rouge, 24.99,"California- The palate is full-bodied in texture, showing bountiful notes of raspberry jam, baked strawberries and a hint of cherry cola atop cocoa flavors and powdered tannins. The mid-palate shows layer upon layer of cranberry, dried rose petal and vanilla, carrying to the finish."
"Domaine Serene Pinot Noir Yamhill Cuvee, 2014", 54.99,"South Eastern Australia, Australia- Bursts with aromas of ripe cherries and hints of dark chocolate which lead to a palate of soft spiced fruit framed in toasty oak that flows..."
Cline Pinot Noir Sonoma Coast, 14.99,"California- Comes from Castoro Cellars first Organic vineyard planted over 15yr years ago, with flavors of earthiness, coupled with cherries, cedar and oak aromas resulting in..."
D'Autrefois Pinot Noir Prestige, 19.99,"Carneros, CA- Dried cherries, cinnamon, and lavender aromas burst from the glass of this Carneros Pinot Noir. On the palate, dark fruits are followed by bramble and forest floor notes."
"Flowers Pinot Noir Sea Ridge, 2014", 72.99,"James Suckling-Mendoza, Argentina - ""This shows the spice and redcurrants common to Mendoza Pinot Noir, but also a good degree of freshness in the form of blueberries and cranberries. Medium body, some good, tangy acidity and a fine finish."""
Louis Chavy Bourgogne Pinot Noir, 19.99,"Oregon- A beautiful, dark ruby color, the nose develops well in the glass, and it possesses an intense aromatic bouquet, reminiscent of spices, blackcurrant and other red and..."
Red Pony Ranch Pinot Noir California, 11.99,"A dry, medium-bodied, juicy red wine with cranberry, raspberry, rose petal and black tea."
"Paul Hobbs CrossBarn Pinot Noir Sonoma Coast, 2016", 29.99,"Sonoma Coast, California - This Pinot Noir carries aromas of ripe red fruit nuanced by a soft spice. Flavors of black cherry, juicy red plums lead the palate, followed by notes of vanilla and spice. Vegan"
David Bruce Pinot Noir Russian River Valley, 39.99,"California - A rich Pinot Noir with intense flavors of dark berry, licorice, jam and cherry. Pairs well with a variety of dishes including duck, chicken and pasta with tomato..."
Cherry Pie Pinot Noir Stanly Ranch, 38.97,"Bio Bio Valley, Chile - The enticing aromas of fresh cherries and strawberry cream marry well with the smooth, delicate palate of this Pinot Noir. This wine pairs perfectly with white meats, pasta and salads. Estate bottled."
Yellow Tail Pinot Noir, 8.97,"Russian River, Sonoma, CA- Supple in texture, with rose petal and red fruit aromas, this lively, medium bodied wine is aged in predominantly French oak, which adds a subtle,..."
Cobble Creek Pinot Noir, 17.99,California- Rich and dark fruit flavors give a decant and smooth feel to this intense Pinot. A healthy amount of oak aging provides balance to the ripe fruit flavors. The smooth finish is perfect for this great example of California Pinot Noir.
Frank Family Pinot Noir Carneros, 36.99,"Carneros, Napa, CA- Tony Soter, one of Napa's great winemakers, now oversees the production of this ""Burgundian"" styled Pinot that is proud of its California roots. Beautifully structured and lush, loaded with complex layers of cherries, spice and hints of earth, with a silky finish."
"Mascota Vyds La Mascota Pinot Noir, 2017", 14.99,"California- A soft, powerful and ripe yet smooth Pinot Noir. Balanced, with complex cherry, plum, clove and smoke aromas and flavors. Good backbone of structured wood and plenty of flesh to fill it out. Vegan"
Cloudline Pinot Noir, 16.49,"Wine Enthusiast -Sonoma, California - ""Tannic and full bodied, this wine holds its weight and grip well. On the palate, it offers a dense expression of cherry cola, warm baking spices and toasted oak."""
Robert Mondavi Private Selection Pinot Noir Red Wine, 7.47,"Wine Spectator-Willamette Valley, Oregon- ""Sleek and silky, with cherry and wet earth flavors, finishing on a savory note. This has firm tannins that stay behind the fruit as..."
Fend & Foster Pinot Noir Sonoma Coast, 19.99,"Santa Lucia, Central Coast, CA- Medium red color. Aromas of cherry, black pepper, and cloves. Hints of anise, strawberry, and some citrus blossoms lie in the background. Texture is quite lush with soft, expansive tannins and lively acidity. Paired with a nice dash of oak."
Prototype Pinot Noir, 8.99,"Vins de Pays d'Oc, Southern France - This is a fruit forward Pinot Noir that retains a complex palate. Elegant notes of small red fruit combine with hints of spice and smooth..."
Porta Pinot Noir Reserva, 9.99,"Transylvania, Romania- Eastern Europe is a hotbed of great values, as this Pinot Noir shows. Ripe berry notes and fresh floral aromas give lift and weight to a medium palate..."
Rodney Strong Pinot Noir Russian River, 17.49,"Oregon- White Wine- 12.5%ABV. ""The crisp tannins and sleek structure give the up-front blackberry, currant and floral spice flavors good lift, coming together smoothly on the..."
Iter Pinot Noir California, 18.99,"Burgundy, France- The velvet smooth texture with bright raspberry and cherry notes this medium bodied Pinot Noir makes exciting and delicious. The power is electric and the finish is lengthy."
Etude Pinot Noir Carneros, 36.97,"California- Silky smooth and well balanced, this wine has layered notes of strawberry, cherry and boysenberry. The fruit flavors are enriched by well integrated oak and blended with Petit Verdot to achieve a substantial body. It's rich and complex with soft tannins and a long finish."
